,pid,eid,probe,lab,subject,region,date,n_channels,neuron_yield,median_firing_rate,mean_firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap,rms_ap_p90
1,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,PPC,2020-10-05,46,55.0,0.5827223084120978,1.222706320820413,141.2569364631543,,0.4851369127134573,23.10419449853519,-142.86113,-184.58458,"[2, 15]","[20, 80]",4831039.0,19.2
2,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,CA1,2020-10-05,56,12.0,4.055061710891246,6.772841014991674,146.9435303089646,,0.39433370340845425,27.976477073888745,-129.35605,-166.22807,"[2, 15]","[20, 80]",5301345.0,19.2
3,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,DG,2020-10-05,70,7.0,3.580804101061736,5.16954435872646,137.25103331813796,163.1484375,0.4117664639039778,20.033152829268317,-123.27786,-155.58247,"[2, 15]","[20, 80]",5109401.0,19.2
4,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,LP,2020-10-05,56,49.0,4.999169787041266,4.712835374751378,126.42308205679393,,0.40912846030393274,18.846588937060506,-138.1233,-176.04083,"[2, 15]","[20, 80]",6124350.0,19.2
5,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,PO,2020-10-05,46,49.0,3.007385762279747,4.035139623396485,127.418128325137,,0.40213802070964083,19.662404357079016,-141.1532,-180.62053,"[2, 15]","[20, 80]",6604147.5,19.2
6,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,PPC,2021-05-19,42,5.0,10.32934759537379,8.62011855896731,169.11882738690343,177.90342194570133,0.486425199160883,20.22773196643821,-146.48326,-179.61028,"[2, 15]","[20, 80]",7579334.5,21.5
7,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CA1,2021-05-19,56,0.0,,,,,,,-123.2643,-157.08482,"[2, 15]","[20, 80]",4417129.5,21.5
8,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,DG,2021-05-19,52,7.0,0.19524688675879176,4.211124442844116,168.96975056531429,215.07812499999994,0.5433883915002399,21.11949905538889,-124.244995,-152.49742,"[2, 15]","[20, 80]",5449463.0,21.5
9,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,LP,2021-05-19,60,27.0,7.722801657143919,7.210791773130729,169.99144459086662,187.63154119091342,0.47196531851351053,21.20752628452765,-139.50282,-170.04773,"[2, 15]","[20, 80]",7099706.0,21.5
10,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,PO,2021-05-19,94,66.0,6.482590283308738,6.592056414198773,175.6366214867772,,0.48085966772377775,21.539061413075952,-142.09474,-172.57938,"[2, 15]","[20, 80]",8202558.0,21.5
11,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,PPC,2020-10-20,0,,,,,,,,,,"[2, 15]","[20, 80]",,21.2
12,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CA1,2020-10-20,26,8.0,2.4219982500245907,3.3064559740034314,207.3022371720599,310.96093749999994,0.43496835287311225,31.28498053607634,-134.20903,-164.73839,"[2, 15]","[20, 80]",4540740.5,21.2
13,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,DG,2020-10-20,62,10.0,3.968192338968982,8.551918739364371,168.13677910274617,189.0052532327586,0.4602507161382047,24.744693189174647,-121.83594,-154.6627,"[2, 15]","[20, 80]",4499312.5,21.2
