,eid,probe,lab,subject,region,date,n_channels,neuron_yield,median_firing_rate,mean_firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap
1,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,PPC,2020-10-05,44,38.0,1.0189046753134887,1.6556451954522307,184.51687968569146,,0.4040362805957165,29.907264611037245,-142.87231,-184.6008,"[2, 15]","[20, 80]",14.797688
2,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,CA1,2020-10-05,55,19.0,4.879185959304867,8.05957676703987,161.13272333357165,,0.516716674842063,34.55140514169716,-129.20769,-166.13507,"[2, 15]","[20, 80]",19.680353
3,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,DG,2020-10-05,68,12.0,5.489206624580262,6.873882939013158,135.4168631628452,,0.44460292253163264,23.453444287569692,-123.38792,-155.66586,"[2, 15]","[20, 80]",25.142553
4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,LP,2020-10-05,54,76.0,4.710735540798156,4.621304244559129,159.57996209310056,,0.43601641900294424,21.42201619828629,-138.19643,-176.10402,"[2, 15]","[20, 80]",19.371185
5,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,PO,2020-10-05,45,51.0,3.6351502377458536,4.314616854027542,171.77409667918283,303.67114485981307,0.4630275492821186,22.80969328347693,-141.15822,-180.62686,"[2, 15]","[20, 80]",20.706848
6,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,PPC,2020-10-20,0,,,,,,,,,,"[2, 15]","[20, 80]",
7,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CA1,2020-10-20,25,10.0,2.38828672287982,3.1049362712448763,131.2260118765178,,0.343944695801169,15.97071662684662,-133.85783,-164.63179,"[2, 15]","[20, 80]",18.730658
8,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,DG,2020-10-20,60,14.0,3.187683210806613,7.896053637650867,170.37423376053832,335.02685546874994,0.38244319619173944,35.06430282638076,-121.83596,-154.67563,"[2, 15]","[20, 80]",23.383278
9,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,LP,2020-10-20,66,74.0,5.027594299963723,6.521162366679555,230.03606579985083,375.6439393939394,0.48139662016133267,34.09034938353075,-138.59856,-171.97928,"[2, 15]","[20, 80]",22.986635
10,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,PO,2020-10-20,82,99.0,5.4672214854481815,5.96466559104736,224.60534643487284,459.83183958820103,0.4544997176455649,32.400020934547086,-143.16124,-176.0728,"[2, 15]","[20, 80]",24.096598
11,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,angelakilab,NYU-27,PPC,2020-09-28,0,,,,,,,,,,"[2, 15]","[20, 80]",
12,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,angelakilab,NYU-27,CA1,2020-09-28,66,7.0,6.8339492657039,9.749609379462283,141.70895165076163,164.75753906249994,1.2202380388574297,21.92282595729862,-144.13194,-167.66193,"[2, 15]","[20, 80]",26.41362
13,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,angelakilab,NYU-27,DG,2020-09-28,68,4.0,1.0722639984833566,1.36481662428639,203.5843361801242,,0.4071750167092754,26.461810947204967,-125.89784,-156.34001,"[2, 15]","[20, 80]",30.711369
